1,-5.3117,-18.643,-3.4206,1.4455,1.3098,0.85594
2,-2.3644,-21.758,-4.5093,1.0752,1.0869,0.87808
3,-1.9418,-21.432,-4.005,1.0213,1.0229,0.89812
4,-2.2974,-23.562,-3.6652,1.0244,1.0652,0.88992
5,-3.7282,-23.796,-3.1499,1.0389,1.0713,0.887
6,-2.4083,-24.16,-3.0956,1.0176,1.0558,0.87605
7,-3.4038,-24.727,-2.1744,1.0467,1.0643,0.88874
8,-4.1453,-24.921,-2.116,1.0176,1.092,0.87877
9,-5.7272,-24.451,-2.0335,1.064,1.1356,0.88931
10,-3.0477,-25.698,-2.3766,0.98531,1.046,0.88435
11,-3.747,-25.253,-2.9426,1.0397,1.144,0.88403
12,-3.9398,-25.639,-3.0752,0.98604,1.08,0.8962
13,-3.0765,-26.458,-3.1241,0.91552,0.93314,0.90925
14,-3.5718,-27.654,-2.7829,0.84653,0.91111,0.91293
15,-3.3258,-27.22,-2.7009,0.71595,0.72386,0.91907
16,-5.4036,-29.34,-2.3678,0.48557,0.45109,0.90489
17,-4.8296,-28.724,-2.031,0.55941,0.4591,0.90721
18,-5.0568,-30.051,-2.4557,0.80199,0.75871,0.87837
19,-3.2653,-33.59,-3.988,0.91193,0.89322,0.87916
20,-2.6005,-35.613,-3.8617,0.92987,0.96731,0.86461
21,-0.98996,-37.029,-4.0474,0.89922,0.9347,0.86913
22,-1.7093,-38.043,-4.1771,0.87925,0.9579,0.85978
23,-1.4514,-38.298,-3.7864,0.94357,1.0619,0.86303
24,-2.5333,-37.644,-3.2391,0.92823,1.0351,0.84915
25,-2.4081,-38.151,-3.377,0.93418,1.0473,0.84227
26,-4.3498,-37.058,-2.3442,0.90496,1.0437,0.85059
27,-3.6954,-37.537,-2.9159,1.0108,1.1228,0.88148
28,-3.0129,-36.492,-2.2898,0.91655,1.0152,0.8564
29,-1.6283,-37.9,-2.4714,0.97462,1.1094,0.86906
30,-2.936,-38.149,-2.5704,0.8093,0.9674,0.86368
31,-0.77614,-38.694,-2.4878,0.91738,1.0996,0.84391
32,-2.2479,-39.534,-2.3318,0.87717,1.1116,0.84866
33,-5.0429,-38.24,-2.7325,0.8112,1.0348,0.83404
34,-5.389,-36.37,-2.4954,0.86595,1.0322,0.83889
35,-6.0298,-35.306,-2.7813,0.89402,1.0758,0.84113
36,-6.3989,-35.387,-2.366,0.8658,1.1238,0.83911
37,-6.5752,-36.483,-2.367,0.78778,1.0543,0.81311
38,-6.7729,-36.734,-2.1163,0.76957,1.032,0.81264
39,-6.2647,-36.039,-2.3868,0.87343,1.134,0.79407
40,-6.6954,-35.686,-2.3678,0.85765,1.0753,0.80516
41,-7.0971,-37.948,-1.5525,0.7539,1.0005,0.80529
42,-7.3498,-37.853,-1.3497,0.72236,0.93832,0.79768
43,-7.5173,-40.409,0.15926,0.3267,0.42418,0.81017
44,-8.3426,-41.454,0.32944,0.06786,0.0079153,0.81143
45,-10.635,-40.254,1.4328,0.10547,0.0076031,0.7987
46,-7.2536,-40.079,0.11193,0.39678,0.45252,0.81205
47,-8.014,-40.143,-1.7795,0.61299,0.74989,0.78616
48,-7.9848,-39.168,-2.5702,0.62405,0.76745,0.78769
